Time(ms),Speed(kmh),RPM,LeftSignal,RightSignal,HighBeam,FuelLevel(%),EngineTemp(C),CheckEngine,BrakeWarn,DoorAjar
7000,22.1,1508,1,1,1,100,70,0,1,1
7100,22.6,1518,1,1,1,100,70,0,1,1
7200,22.6,1525,1,1,1,100,70,0,1,1
7300,22.9,1535,1,1,1,100,70,0,1,1
7400,23.5,1547,1,1,1,100,70,0,1,1
7500,24.0,1562,1,1,1,100,70,0,1,1
7600,24.2,1580,1,1,1,100,70,0,1,1
7700,24.7,1586,1,1,1,100,70,0,1,1
7800,24.7,1588,1,1,1,100,70,0,1,1
7900,25.1,1607,1,1,1,100,70,0,1,1
8000,25.7,1627,1,1,1,100,70,0,1,1
8100,26.1,1638,1,1,1,100,70,0,1,1
8200,26.3,1641,1,1,1,100,70,0,1,1
8300,26.3,1638,1,1,1,100,70,0,1,1
8400,26.9,1655,1,1,1,100,70,0,1,1
8500,27.0,1661,1,1,1,100,70,0,1,1
8600,27.2,1667,1,1,1,100,70,0,1,1
8700,28.0,1697,1,1,1,100,70,0,1,1
8800,27.8,1690,1,1,1,100,70,0,1,1
8900,28.5,1713,1,1,1,100,70,0,1,1
9000,28.8,1718,1,1,1,100,70,0,1,1
9100,29.3,1741,1,1,1,100,70,0,1,1
9200,29.4,1744,1,1,1,100,70,0,1,1
9300,30.0,1755,1,1,1,100,70,0,1,1
9400,30.4,1768,1,1,1,100,70,0,1,1
9500,30.2,1772,1,1,1,100,70,0,1,1
9600,30.6,1781,1,1,1,100,70,0,1,1
9700,30.8,1789,1,1,1,100,70,0,1,1
9800,31.2,1799,1,1,1,100,70,0,1,1
9900,31.4,1801,1,1,1,100,70,0,1,1
10000,31.8,1817,1,1,1,100,70,0,1,1
10100,32.5,1846,1,1,1,100,70,0,1,1
10200,33.0,1860,1,1,1,100,70,0,1,1
10300,33.1,1859,1,1,1,100,70,0,1,1
10400,33.4,1869,1,1,1,100,70,0,1,1
10500,33.9,1884,1,1,1,100,70,0,1,1
10600,33.7,1873,1,1,1,100,70,0,1,1
10700,34.1,1889,1,1,1,100,70,0,1,1
10800,34.0,1884,1,1,1,100,70,0,1,1
10900,34.3,1897,1,1,1,100,70,0,1,1
11000,35.0,1916,1,1,1,100,70,0,1,1
11100,35.1,1921,1,1,1,100,70,0,1,1
11200,35.7,1945,1,1,1,100,70,0,1,1
11300,36.2,1959,1,1,1,100,70,0,1,1
11400,36.4,1961,1,1,1,100,70,0,1,1
11500,36.6,1966,1,1,1,100,70,0,1,1
11600,36.5,1969,1,1,1,100,70,0,1,1
11700,37.3,1989,1,1,1,100,70,0,1,1
11800,37.3,1999,1,1,1,100,70,0,1,1
11900,38.3,2023,1,1,1,100,70,0,1,1
12000,38.8,2036,1,1,1,100,70,0,1,1
12100,38.8,2046,1,1,1,100,70,0,1,1
12200,39.0,2050,1,1,1,100,70,0,1,1
12300,39.4,2058,1,1,1,100,70,0,1,1
12400,39.2,2051,1,1,1,100,70,0,1,1
12500,39.7,2068,1,1,1,100,70,0,1,1
12600,40.3,2092,1,1,1,100,70,0,1,1
12700,40.5,2097,1,1,1,100,70,0,1,1
12800,41.3,2118,1,1,1,100,70,0,1,1
12900,41.7,2130,1,1,1,100,70,0,1,1
13000,41.0,2108,1,1,1,100,70,0,1,1
13100,41.9,2138,1,1,1,100,70,0,1,1
13200,42.4,2157,1,1,1,100,70,0,1,1
13300,42.1,2143,1,1,1,100,70,0,1,1
13400,43.2,2178,1,1,1,100,70,0,1,1
13500,43.2,2184,1,1,1,100,70,0,1,1
13600,43.1,2181,1,1,1,100,70,0,1,1
13700,44.0,2212,1,1,1,100,70,0,1,1
13800,43.6,2191,1,1,1,100,70,0,1,1
13900,43.6,2198,1,1,1,100,70,0,1,1
14000,44.5,2218,1,1,1,100,70,0,1,1
14100,45.4,2253,1,1,1,100,70,0,1,1
14200,45.6,2263,1,1,1,100,70,0,1,1
14300,45.3,2246,1,1,1,100,70,0,1,1
14400,46.4,2284,1,1,1,100,70,0,1,1
14500,46.0,2272,1,1,1,100,70,0,1,1
14600,46.5,2283,1,1,1,100,70,0,1,1
14700,46.5,2292,1,1,1,100,70,0,1,1
14800,46.6,2294,1,1,1,100,70,0,1,1
14900,46.7,2296,1,1,1,100,70,0,1,1
15000,47.4,2316,1,1,1,100,70,0,1,1
15100,48.2,2340,1,1,1,100,70,0,1,1
15200,47.9,2333,1,1,1,100,70,0,1,1
15300,49.3,2380,1,1,1,100,70,0,1,1
15400,49.2,2371,1,1,1,100,70,0,1,1
15500,49.5,2386,1,1,1,100,70,0,1,1
15600,49.2,2371,1,1,1,100,70,0,1,1
15700,50.2,2411,1,1,1,100,70,0,1,1
15800,50.7,2417,1,1,1,100,70,0,1,1
15900,50.7,2419,1,1,1,100,70,0,1,1
16000,50.9,2431,1,1,1,100,70,0,1,1
16100,51.3,2438,1,1,1,100,70,0,1,1
16200,51.8,2452,1,1,1,100,70,0,1,1
16300,52.2,2473,1,1,1,100,70,0,1,1
16400,51.9,2457,1,1,1,100,70,0,1,1
16500,52.9,2492,1,1,1,100,70,0,1,1
16600,52.4,2477,1,1,1,100,70,0,1,1
16700,52.8,2489,1,1,1,100,70,0,1,1
16800,54.0,2531,1,1,1,100,70,0,1,1
16900,54.3,2536,1,1,1,100,70,0,1,1
17000,54.5,2541,1,1,1,100,70,0,1,1
17100,54.1,2526,1,1,1,100,70,0,1,1
17200,55.5,2570,1,1,1,100,70,0,1,1
17300,56.1,2597,1,1,1,100,70,0,1,1
17400,56.3,2605,1,1,1,100,70,0,1,1
17500,55.6,2582,1,1,1,100,70,0,1,1
17600,55.8,2585,1,1,1,100,70,0,1,1
17700,55.7,2586,1,1,1,100,70,0,1,1
17800,56.1,2593,1,1,1,100,70,0,1,1
17900,57.0,2627,1,1,1,100,70,0,1,1
18000,57.8,2645,1,1,1,100,70,0,1,1
18100,58.7,2680,1,1,1,100,70,0,1,1
18200,58.3,2661,1,1,1,100,70,0,1,1
18300,59.1,2690,1,1,1,100,70,0,1,1
18400,59.5,2700,1,1,1,100,70,0,1,1
18500,58.9,2684,1,1,1,100,70,0,1,1
18600,59.2,2693,1,1,1,100,70,0,1,1
18700,58.9,2685,1,1,1,100,70,0,1,1
18800,59.6,2703,1,1,1,100,70,0,1,1
18900,59.9,2713,1,1,1,100,70,0,1,1
19000,60.0,2718,1,1,1,100,70,0,1,1
19100,60.2,2727,1,1,1,100,70,0,1,1
19200,60.7,2744,1,1,1,100,70,0,1,1
19300,61.0,2758,1,1,1,100,70,0,1,1
19400,61.8,2778,1,1,1,100,70,0,1,1
19500,61.8,2776,1,1,1,100,70,0,1,1
19600,61.8,2772,1,1,1,100,70,0,1,1
19700,61.8,2775,1,1,1,100,70,0,1,1
19800,63.3,2823,1,1,1,100,70,0,1,1
19900,64.4,2864,1,1,1,100,70,0,1,1
20000,64.4,2859,0,0,1,100,70,0,1,1
20100,63.8,2842,0,0,1,100,70,0,1,1
20200,64.9,2872,0,0,1,100,70,0,1,1
20300,64.9,2874,0,0,1,100,70,0,1,1
20400,64.3,2856,0,0,1,100,70,0,1,1
20500,65.5,2900,0,0,1,100,70,0,1,1
20600,65.0,2876,0,0,1,100,70,0,1,1
20700,65.6,2902,0,0,1,100,70,0,1,1
20800,65.5,2898,0,0,1,100,70,0,1,1
20900,66.2,2915,0,0,1,100,70,0,1,1
21000,67.6,2963,0,0,1,100,70,0,1,1
21100,66.7,2938,0,0,1,100,70,0,1,1
21200,66.7,2937,0,0,1,100,70,0,1,1
21300,68.4,2991,0,0,1,100,70,0,1,1
21400,69.2,3014,0,0,1,100,70,0,1,1
21500,68.0,2974,0,0,1,100,70,0,1,1
21600,69.0,3011,0,0,1,100,70,0,1,1
21700,69.8,3030,0,0,1,100,70,0,1,1
21800,70.3,3047,0,0,1,100,70,0,1,1
21900,69.2,3017,0,0,1,100,70,0,1,1
22000,69.6,3033,0,0,1,100,70,0,1,1
22100,70.5,3061,0,0,1,100,70,0,1,1
22200,71.7,3091,0,0,1,100,70,0,1,1
22300,70.8,3068,0,0,1,100,70,0,1,1
22400,70.5,3060,0,0,1,100,70,0,1,1
22500,71.0,3075,0,0,1,100,70,0,1,1
22600,72.8,3130,0,0,1,100,70,0,1,1
22700,72.1,3108,0,0,1,100,70,0,1,1
22800,72.0,3101,0,0,1,100,70,0,1,1
22900,73.3,3149,0,0,1,100,70,0,1,1
23000,72.7,3129,0,0,1,100,70,0,1,1
23100,73.5,3148,0,0,1,100,70,0,1,1
23200,74.0,3167,0,0,1,100,70,0,1,1
23300,74.1,3173,0,0,1,100,70,0,1,1
23400,73.9,3171,0,0,1,100,70,0,1,1
23500,74.0,3171,0,0,1,100,70,0,1,1
23600,75.5,3217,0,0,1,100,70,0,1,1
23700,76.3,3240,0,0,1,100,70,0,1,1
23800,75.9,3227,0,0,1,100,70,0,1,1
23900,76.6,3251,0,0,1,100,70,0,1,1
24000,77.7,3283,0,0,1,100,70,0,1,1
24100,77.6,3282,0,0,1,100,70,0,1,1
24200,77.3,3272,0,0,1,100,70,0,1,1
24300,78.5,3311,0,0,1,100,70,0,1,1
24400,79.0,3324,0,0,1,100,70,0,1,1
24500,77.8,3291,0,0,1,100,70,0,1,1
24600,78.4,3309,0,0,1,100,70,0,1,1
24700,79.2,3338,0,0,1,100,70,0,1,1
24800,79.9,3359,0,0,1,100,70,0,1,1
24900,78.9,3326,0,0,1,100,70,0,1,1
25000,78.8,3322,0,0,1,100,70,0,1,1
25100,79.2,3338,0,0,1,100,70,0,1,1
25200,80.6,3383,0,0,1,100,70,0,1,1
25300,80.9,3387,0,0,1,100,70,0,1,1
25400,81.0,3392,0,0,1,100,70,0,1,1
25500,80.3,3366,0,0,1,100,70,0,1,1
25600,82.1,3424,0,0,1,100,70,0,1,1
25700,81.6,3412,0,0,1,100,70,0,1,1
25800,83.1,3462,0,0,1,100,70,0,1,1
25900,83.0,3458,0,0,1,100,70,0,1,1
26000,82.1,3427,0,0,1,100,70,0,1,1
26100,83.4,3469,0,0,1,100,70,0,1,1
26200,84.5,3501,0,0,1,100,70,0,1,1
26300,83.4,3472,0,0,1,100,70,0,1,1
26400,83.5,3469,0,0,1,100,70,0,1,1
26500,84.4,3502,0,0,1,100,70,0,1,1
26600,85.5,3538,0,0,1,100,70,0,1,1
26700,84.8,3516,0,0,1,100,70,0,1,1
26800,85.1,3524,0,0,1,100,70,0,1,1
26900,85.7,3540,0,0,1,100,70,0,1,1
27000,85.4,3534,0,0,1,100,70,0,1,1
27100,87.1,3584,0,0,1,100,70,0,1,1
27200,86.5,3570,0,0,1,100,70,0,1,1
27300,85.9,3552,0,0,1,100,70,0,1,1
27400,87.4,3595,0,0,1,100,70,0,1,1
27500,87.7,3603,0,0,1,100,70,0,1,1
27600,88.8,3639,0,0,1,100,70,0,1,1
27700,89.3,3654,0,0,1,100,70,0,1,1
27800,89.9,3675,0,0,1,100,70,0,1,1
27900,90.6,3695,0,0,1,100,70,0,1,1
28000,90.8,3707,0,0,1,100,70,0,1,1
28100,89.6,3670,0,0,1,100,70,0,1,1
28200,89.7,3672,0,0,1,100,70,0,1,1
28300,91.1,3709,0,0,1,100,70,0,1,1
28400,91.2,3722,0,0,1,100,70,0,1,1
28500,91.1,3712,0,0,1,100,70,0,1,1
28600,92.1,3750,0,0,1,100,70,0,1,1
28700,92.4,3754,0,0,1,100,70,0,1,1
28800,91.0,3709,0,0,1,100,70,0,1,1
28900,91.5,3726,0,0,1,100,70,0,1,1
29000,92.8,3771,0,0,1,100,70,0,1,1
29100,93.2,3783,0,0,1,100,70,0,1,1
29200,94.6,3825,0,0,1,100,70,0,1,1
29300,93.9,3806,0,0,1,100,70,0,1,1
29400,93.2,3779,0,0,1,100,70,0,1,1
29500,95.3,3852,0,0,1,100,70,0,1,1
29600,96.0,3874,0,0,1,100,70,0,1,1
29700,94.8,3835,0,0,1,100,70,0,1,1
29800,95.8,3867,0,0,1,100,70,0,1,1
29900,96.7,3893,0,0,1,100,70,0,1,1
30000,95.7,3862,0,0,1,100,70,0,1,1
30100,95.6,3860,0,0,1,100,70,0,1,1
30200,96.5,3888,0,0,1,100,70,0,1,1
30300,97.5,3924,0,0,1,100,70,0,1,1
30400,97.1,3905,0,0,1,100,70,0,1,1
30500,98.1,3943,0,0,1,100,70,0,1,1
30600,98.2,3942,0,0,1,100,70,0,1,1
30700,98.5,3956,0,0,1,100,70,0,1,1
30800,99.8,3991,0,0,1,100,70,0,1,1
30900,98.2,3940,0,0,1,100,70,0,1,1
31000,97.6,3920,0,0,1,100,70,0,1,1
31100,98.8,3964,0,0,1,100,70,0,1,1
31200,100.6,4023,0,0,1,100,70,0,1,1
31300,101.6,4052,0,0,1,100,70,0,1,1
31400,101.4,4048,0,0,1,100,70,0,1,1
31500,101.7,4058,0,0,1,100,70,0,1,1
31600,100.4,4012,0,0,1,100,70,0,1,1
31700,100.8,4025,0,0,1,100,70,0,1,1
31800,102.7,4081,0,0,1,100,70,0,1,1
31900,100.9,4030,0,0,1,100,70,0,1,1
32000,101.4,4042,0,0,1,100,70,0,1,1
32100,102.5,4082,0,0,1,100,70,0,1,1
32200,104.2,4133,0,0,1,100,70,0,1,1
32300,103.6,4115,0,0,1,100,70,0,1,1
32400,104.4,4140,0,0,1,100,70,0,1,1
32500,103.8,4122,0,0,1,100,70,0,1,1
32600,104.0,4134,0,0,1,100,70,0,1,1
32700,103.2,4100,0,0,1,100,70,0,1,1
32800,103.6,4113,0,0,1,100,70,0,1,1
32900,103.8,4116,0,0,1,100,70,0,1,1
33000,105.1,4167,0,0,1,100,70,0,1,1
33100,105.3,4175,0,0,1,100,70,0,1,1
33200,106.6,4210,0,0,1,100,70,0,1,1
33300,107.2,4231,0,0,1,100,70,0,1,1
33400,106.2,4198,0,0,1,100,70,0,1,1
33500,108.3,4268,0,0,1,100,70,0,1,1
33600,107.1,4229,0,0,1,100,70,0,1,1
33700,106.4,4202,0,0,1,100,70,0,1,1
33800,107.9,4253,0,0,1,100,70,0,1,1
33900,107.0,4223,0,0,1,100,70,0,1,1
34000,107.5,4244,0,0,1,100,70,0,1,1
34100,107.4,4239,0,0,1,100,70,0,1,1
34200,109.9,4312,0,0,1,100,70,0,1,1
34300,110.4,4332,0,0,1,100,70,0,1,1
34400,109.4,4302,0,0,1,100,70,0,1,1
34500,111.5,4367,0,0,1,100,70,0,1,1
34600,109.8,4313,0,0,1,100,70,0,1,1
34700,111.2,4352,0,0,1,100,70,0,1,1
34800,111.8,4375,0,0,1,100,70,0,1,1
34900,112.4,4394,0,0,1,100,70,0,1,1
35000,111.9,4380,0,0,1,100,70,0,1,1
35100,113.5,4426,0,0,1,100,70,0,1,1
35200,111.4,4359,0,0,1,100,70,0,1,1
35300,111.1,4354,0,0,1,100,70,0,1,1
35400,111.2,4357,0,0,1,100,70,0,1,1
35500,113.7,4442,0,0,1,100,70,0,1,1
35600,113.9,4444,0,0,1,100,70,0,1,1
35700,114.5,4463,0,0,1,100,70,0,1,1
35800,114.3,4456,0,0,1,100,70,0,1,1
35900,113.4,4430,0,0,1,100,70,0,1,1
36000,113.4,4432,0,0,1,100,70,0,1,1
36100,113.4,4424,0,0,1,100,70,0,1,1
36200,114.6,4464,0,0,1,100,70,0,1,1
36300,115.4,4491,0,0,1,100,70,0,1,1
36400,117.2,4555,0,0,1,100,70,0,1,1
36500,118.4,4585,0,0,1,100,70,0,1,1
36600,116.4,4521,0,0,1,100,70,0,1,1
36700,117.9,4576,0,0,1,100,70,0,1,1
36800,117.9,4571,0,0,1,100,70,0,1,1
36900,118.0,4578,0,0,1,100,70,0,1,1
37000,119.2,4610,0,0,1,100,70,0,1,1
37100,118.2,4585,0,0,1,100,70,0,1,1
37200,119.7,4628,0,0,1,100,70,0,1,1
37300,121.0,4667,0,0,1,100,70,0,1,1
37400,118.8,4602,0,0,1,100,70,0,1,1
37500,119.8,4629,0,0,1,100,70,0,1,1
37600,120.1,4637,0,0,1,100,70,0,1,1
37700,121.9,4705,0,0,1,100,70,0,1,1
37800,122.6,4726,0,0,1,100,70,0,1,1
37900,122.8,4728,0,0,1,100,70,0,1,1
38000,121.9,4701,0,0,1,100,70,0,1,1
38100,123.5,4749,0,0,1,100,70,0,1,1
38200,121.2,4682,0,0,1,100,70,0,1,1
38300,123.4,4745,0,0,1,100,70,0,1,1
38400,122.0,4706,0,0,1,100,70,0,1,1
38500,121.5,4684,0,0,1,100,70,0,1,1
38600,124.3,4779,0,0,1,100,70,0,1,1
38700,122.6,4723,0,0,1,100,70,0,1,1
38800,124.6,4784,0,0,1,100,70,0,1,1
38900,124.6,4791,0,0,1,100,70,0,1,1
39000,125.8,4827,0,0,1,100,70,0,1,1
39100,124.5,4786,0,0,1,100,70,0,1,1
39200,126.4,4842,0,0,1,100,70,0,1,1
39300,124.4,4780,0,0,1,100,70,0,1,1
39400,125.0,4798,0,0,1,100,70,0,1,1
39500,124.7,4787,0,0,1,100,70,0,1,1
39600,126.4,4845,0,0,1,100,70,0,1,1
39700,128.6,4911,0,0,1,100,70,0,1,1
39800,129.2,4937,0,0,1,100,70,0,1,1
39900,126.9,4862,0,0,1,100,70,0,1,1
40000,129.2,4937,0,0,1,100,70,0,1,1
40100,128.1,4903,0,0,1,100,70,0,1,1
40200,128.6,4915,0,0,1,100,70,0,1,1
40300,127.8,4885,0,0,1,100,70,0,1,1
40400,127.6,4887,0,0,1,100,70,0,1,1
40500,128.0,4901,0,0,1,100,70,0,1,1
40600,130.1,4963,0,0,1,100,70,0,1,1
40700,129.6,4942,0,0,1,100,70,0,1,1
40800,131.3,5002,0,0,1,100,70,0,1,1
40900,131.8,5017,0,0,1,100,70,0,1,1
41000,132.3,5038,0,0,1,100,70,0,1,1
41100,131.2,4994,0,0,1,100,70,0,1,1
41200,130.7,4980,0,0,1,100,70,0,1,1
41300,131.4,5009,0,0,1,100,70,0,1,1
41400,133.6,5074,0,0,1,100,70,0,1,1
41500,134.7,5108,0,0,1,100,70,0,1,1
41600,133.0,5056,0,0,1,100,70,0,1,1
41700,133.5,5076,0,0,1,100,70,0,1,1
41800,134.4,5103,0,0,1,100,70,0,1,1
41900,134.0,5090,0,0,1,100,70,0,1,1
42000,134.8,5109,0,0,1,100,70,0,1,1
42100,134.7,5109,0,0,1,100,70,0,1,1
42200,133.2,5060,0,0,1,100,70,0,1,1
42300,135.8,5139,0,0,1,100,70,0,1,1
42400,134.4,5103,0,0,1,100,70,0,1,1
42500,136.4,5169,0,0,1,100,70,0,1,1
42600,138.1,5219,0,0,1,100,70,0,1,1
42700,136.4,5164,0,0,1,100,70,0,1,1
42800,135.5,5141,0,0,1,100,70,0,1,1
42900,138.0,5220,0,0,1,100,70,0,1,1
43000,137.5,5202,0,0,1,100,70,0,1,1
43100,138.8,5242,0,0,1,100,70,0,1,1
43200,140.2,5281,0,0,1,100,70,0,1,1
43300,138.2,5219,0,0,1,100,70,0,1,1
43400,138.6,5236,0,0,1,100,70,0,1,1
43500,137.4,5200,0,0,1,100,70,0,1,1
43600,138.9,5244,0,0,1,100,70,0,1,1
43700,140.5,5299,0,0,1,100,70,0,1,1
43800,141.3,5319,0,0,1,100,70,0,1,1
43900,140.0,5276,0,0,1,100,70,0,1,1
44000,139.2,5260,0,0,1,100,70,0,1,1
44100,141.3,5322,0,0,1,100,70,0,1,1
44200,142.2,5351,0,0,1,100,70,0,1,1
44300,140.3,5290,0,0,1,100,70,0,1,1
44400,141.2,5321,0,0,1,100,70,0,1,1
44500,141.9,5338,0,0,1,100,70,0,1,1
44600,143.5,5396,0,0,1,100,70,0,1,1
44700,144.2,5417,0,0,1,100,70,0,1,1
44800,145.1,5438,0,0,1,100,70,0,1,1
44900,142.2,5345,0,0,1,100,70,0,1,1
45000,144.3,5414,0,0,1,100,70,0,1,1
45100,143.6,5393,0,0,1,100,70,0,1,1
45200,145.4,5452,0,0,1,100,70,0,1,1
45300,146.2,5478,0,0,1,100,70,0,1,1
45400,145.0,5440,0,0,1,100,70,0,1,1
45500,143.5,5390,0,0,1,100,70,0,1,1
45600,145.2,5445,0,0,1,100,70,0,1,1
45700,147.8,5530,0,0,1,100,70,0,1,1
45800,146.6,5491,0,0,1,100,70,0,1,1
45900,147.5,5516,0,0,1,100,70,0,1,1
46000,148.4,5546,0,0,1,100,70,0,1,1
46100,147.0,5504,0,0,1,100,70,0,1,1
46200,147.8,5527,0,0,1,100,70,0,1,1
46300,147.5,5519,0,0,1,100,70,0,1,1
46400,148.7,5553,0,0,1,100,70,0,1,1
46500,150.8,5625,0,0,1,100,70,0,1,1
46600,151.0,5634,0,0,1,100,70,0,1,1
46700,151.7,5656,0,0,1,100,70,0,1,1
46800,152.3,5677,0,0,1,100,70,0,1,1
46900,152.3,5676,0,0,1,100,70,0,1,1
47000,150.9,5628,0,0,1,100,70,0,1,1
47100,148.7,5554,0,0,1,100,70,0,1,1
47200,152.0,5664,0,0,1,100,70,0,1,1
47300,151.8,5657,0,0,1,100,70,0,1,1
47400,150.8,5623,0,0,1,100,70,0,1,1
47500,150.7,5626,0,0,1,100,70,0,1,1
47600,153.7,5720,0,0,1,100,70,0,1,1
47700,154.8,5753,0,0,1,100,70,0,1,1
47800,155.5,5775,0,0,1,100,70,0,1,1
47900,152.6,5681,0,0,1,100,70,0,1,1
48000,154.1,5734,0,0,1,100,70,0,1,1
48100,156.1,5793,0,0,1,100,70,0,1,1
48200,155.2,5764,0,0,1,100,70,0,1,1
48300,155.9,5783,0,0,1,100,70,0,1,1
48400,154.2,5735,0,0,1,100,70,0,1,1
48500,156.3,5801,0,0,1,100,70,0,1,1
48600,156.5,5803,0,0,1,100,70,0,1,1
48700,158.1,5859,0,0,1,100,70,0,1,1
48800,155.1,5764,0,0,1,100,70,0,1,1
48900,154.4,5741,0,0,1,100,70,0,1,1
49000,154.4,5737,0,0,1,100,70,0,1,1
49100,154.6,5748,0,0,1,100,70,0,1,1
49200,156.6,5810,0,0,1,100,70,0,1,1
49300,155.8,5781,0,0,1,100,70,0,1,1
49400,156.9,5823,0,0,1,100,70,0,1,1
49500,156.5,5814,0,0,1,100,70,0,1,1
49600,158.6,5875,0,0,1,100,70,0,1,1
49700,159.7,5911,0,0,1,100,70,0,1,1
49800,158.9,5886,0,0,1,100,70,0,1,1
49900,159.3,5893,0,0,1,100,70,0,1,1
50000,160.3,5931,0,0,1,100,70,0,1,1
50100,159.2,5896,0,0,1,100,70,0,1,1
50200,161.2,5956,0,0,1,100,70,0,1,1
50300,159.2,5889,0,0,1,100,70,0,1,1
50400,157.2,5829,0,0,1,100,70,0,1,1
50500,159.9,5921,0,0,1,100,70,0,1,1
50600,158.4,5869,0,0,1,100,70,0,1,1
50700,156.9,5821,0,0,1,100,70,0,1,1
50800,158.1,5862,0,0,1,100,70,0,1,1
50900,157.0,5821,0,0,1,100,70,0,1,1
51000,156.6,5809,0,0,1,100,70,0,1,1
51100,154.8,5758,0,0,1,100,70,0,1,1
51200,157.7,5846,0,0,1,100,70,0,1,1
51300,155.2,5761,0,0,1,100,70,0,1,1
51400,154.0,5728,0,0,1,100,70,0,1,1
51500,156.6,5813,0,0,1,100,70,0,1,1
51600,153.6,5712,0,0,1,100,70,0,1,1
51700,155.0,5754,0,0,1,100,70,0,1,1
51800,155.6,5779,0,0,1,100,70,0,1,1
51900,156.5,5803,0,0,1,100,70,0,1,1
52000,154.0,5727,0,0,1,100,70,0,1,1
52100,152.8,5693,0,0,1,100,70,0,1,1
52200,152.3,5674,0,0,1,100,70,0,1,1
52300,151.0,5634,0,0,1,100,70,0,1,1
52400,152.6,5679,0,0,1,100,70,0,1,1
52500,150.9,5628,0,0,1,100,70,0,1,1
52600,149.8,5592,0,0,1,100,70,0,1,1
52700,151.2,5642,0,0,1,100,70,0,1,1
52800,152.6,5683,0,0,1,100,70,0,1,1
52900,150.3,5606,0,0,1,100,70,0,1,1
53000,151.5,5647,0,0,1,100,70,0,1,1
53100,152.0,5665,0,0,1,100,70,0,1,1
53200,151.8,5663,0,0,1,100,70,0,1,1
